State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s)
Texas,North East,Administrator,December 2021,Banned from Libraries,"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",,"Emberley, Michael",
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hartinger, Brent",Geography Club (Russel Middlebrook Series),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hashimi, Nadia",One Half from the East,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hawkins, Rachel",Her Royal Highness,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Heaney, Katie",Girl Crushed,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Helms, Rhonda",Promposal,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hendriks, Jenni",Unpregnant,"Caplan, Ted",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hennessey, M. G.",The Other Boy,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Heppermann, Christine",Ask Me How I Got Here,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Herman, Christine Lynn",The Devouring Gray (The Devouring Gray Series),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hill, Katie Rain",Rethinking Normal: A Memoir in Transition,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hinebaugh, Olivia","The Birds, the Bees, and You and Me",,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hitchcock, Shannon",One True Way,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Hoblin, Paul",Archenemy,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Hoffman, Eric",Best Best Colors: Los mejores colores,,"Henriquez, Celeste",
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hoffman, Sarah",Jacob's New Dress,"Hoffman, Ian","Case, Chris",
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hoffman, Sarah",Jacob's Room to Choose,"Hoffman, Ian","Case, Chris",
Texas,North East,Administrator,December 2021,Banned from Libraries,"Holmes, Melisa","Hang-ups, Hook-ups, and Holding Out: Stuff You Need to Know about Your Body, Sex, and Dating","Hutchison, Trish",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Holt, K. A.",Redwood and Ponytail,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Hopkins, Ellen",The You I've Never Known,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Horner, Emily",A Love Story Starring My Dead Best Friend,,,
