OBJECTID,Survey,Location,Date_,Source,US_Acres,Origin,Class,SubClass,Group_,CoOccuElem,Notes,SubGroup,CMECS_Code,Label,Shape_Length,Shape_Area
7064,Acoustic,"Choptank River, MD",2008 April,NOAA-CBO,0.161556,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,122.925374943752,1072.1183801011
7065,Acoustic,"Choptank River, MD",2008 April,NOAA-CBO,0.250447,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,157.716697386215,1662.00298441996
7066,Acoustic,"Choptank River, MD",2008 April,NOAA-CBO,0.270373,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,159.787911755815,1794.19737715565
7067,Acoustic,"Choptank River, MD",2008 April,NOAA-CBO,0.600763,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,279.159848541932,3986.53363985063
7068,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.143888,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,156.907758252204,961.482711837384
7069,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.157114,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,128.750782565201,1049.98052688905
7070,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.093994,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,114.008960331448,628.144185195356
7071,Acoustic,"South River, MD",2008 March,NOAA-CBO,0.305346,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,348.284341671283,2046.58757453948
7072,Acoustic,"Kirby Bar, Choptank River, MD",2007 August,NOAA-CBO,0.276356,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,183.952166141425,1835.01464948169
7073,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.092166,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,91.2084785754956,615.16770663525
7074,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.212045,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,146.110073328032,1415.12535667191
7075,Acoustic,"Miles River, MD",2011 July,NOAA-CBO,0.111679,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,125.66587565525,745.318868746715
